trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.35, 'e': 1.0}",20,0,-39.82669464559818,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.35, 'e': 0.9950124791926823}",25,0,-114.00834001137248,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.35, 'e': 0.9900498337491681}",20,0,-70.49377734240574,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.35, 'e': 0.9851119396030626}",20,0,-184.53131425622118,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
5,False,"{'a': 0.35, 'e': 0.9801986733067553}",20,0,-52.2051264201316,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.35, 'e': 0.9753099120283326}",20,0,-97.70731610993712,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.35, 'e': 0.9704455335485082}",20,0,-136.51934679014005,"{0: 8, 1: 4, 2: 4, 3: 4, 4: 0}",0
8,False,"{'a': 0.35, 'e': 0.9656054162575665}",20,0,-97.35735412575308,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.35, 'e': 0.9607894391523232}",30,0,-98.3850626339868,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.35, 'e': 0.9559974818331}",25,0,-61.04203859187545,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.35, 'e': 0.951229424500714}",30,0,-148.54510173818824,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.35, 'e': 0.9464851479534838}",35,0,-152.29319056838503,"{0: 20, 1: 1, 2: 13, 3: 0, 4: 1}",0
13,False,"{'a': 0.35, 'e': 0.9417645335842487}",20,0,-177.06760584487745,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
14,False,"{'a': 0.35, 'e': 0.9370674633774034}",35,0,-39.122142519749886,"{0: 27, 1: 4, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.35, 'e': 0.9323938199059483}",25,0,-186.2392811137313,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
16,False,"{'a': 0.35, 'e': 0.9277434863285529}",25,0,-107.1243793944083,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.35, 'e': 0.9231163463866358}",25,0,-94.03407391459294,"{0: 16, 1: 5, 2: 1, 3: 2, 4: 1}",0
18,False,"{'a': 0.35, 'e': 0.9185122844014574}",25,0,-182.19827253775546,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
19,False,"{'a': 0.35, 'e': 0.9139311852712282}",25,0,-189.4206243765204,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
20,False,"{'a': 0.35, 'e': 0.9093729344682314}",20,0,-78.52744688699468,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
21,False,"{'a': 0.35, 'e': 0.9048374180359595}",20,0,-146.64080913849304,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
22,False,"{'a': 0.35, 'e': 0.9003245225862656}",30,0,-167.61408227935988,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
23,False,"{'a': 0.35, 'e': 0.8958341352965282}",35,0,-215.2026014483741,"{0: 21, 1: 4, 2: 4, 3: 3, 4: 3}",0
24,False,"{'a': 0.35, 'e': 0.8913661439068313}",25,0,-175.95248349993662,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
25,False,"{'a': 0.35, 'e': 0.8869204367171575}",20,8,-51.32981552239643,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 0}",1
26,False,"{'a': 0.35, 'e': 0.8824969025845955}",25,0,-107.49528466858655,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
27,False,"{'a': 0.35, 'e': 0.8780954309205613}",30,0,-178.92759017070335,"{0: 15, 1: 8, 2: 4, 3: 0, 4: 3}",0
28,False,"{'a': 0.35, 'e': 0.8737159116880344}",20,0,-115.46289525575419,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
29,False,"{'a': 0.35, 'e': 0.8693582353988059}",25,9,-39.16370571640762,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
30,False,"{'a': 0.35, 'e': 0.8650222931107413}",20,0,-165.2704147064582,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
31,False,"{'a': 0.35, 'e': 0.8607079764250578}",30,21,7.272060224435495,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.35, 'e': 0.8564151774836135}",20,0,-35.9604899501509,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
33,False,"{'a': 0.35, 'e': 0.8521437889662113}",25,0,-171.73862488009453,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
34,False,"{'a': 0.35, 'e': 0.8478937040879159}",20,0,-145.18005422834332,"{0: 12, 1: 2, 2: 1, 3: 3, 4: 2}",0
35,False,"{'a': 0.35, 'e': 0.8436648165963837}",20,0,-15.302791087640198,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
36,False,"{'a': 0.35, 'e': 0.8394570207692074}",20,2,-23.347559923736185,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
37,False,"{'a': 0.35, 'e': 0.835270211411272}",25,0,-113.38894995657328,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
38,False,"{'a': 0.35, 'e': 0.8311042838521256}",25,0,-144.2839809090064,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
39,False,"{'a': 0.35, 'e': 0.8269591339433623}",35,0,-139.09549063742966,"{0: 24, 1: 4, 2: 3, 3: 2, 4: 2}",0
40,False,"{'a': 0.35, 'e': 0.8228346580560184}",20,0,-104.23318652641754,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
41,False,"{'a': 0.35, 'e': 0.8187307530779818}",25,17,1.3663897682346955,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.35, 'e': 0.8146473164114145}",25,0,-134.49078467980502,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
43,False,"{'a': 0.35, 'e': 0.8105842459701871}",20,0,-88.76137442382341,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
44,False,"{'a': 0.35, 'e': 0.8065414401773269}",30,14,-107.58167263111503,"{0: 9, 1: 0, 2: 4, 3: 2, 4: 1}",1
45,False,"{'a': 0.35, 'e': 0.8025187979624785}",20,0,-180.79343763716918,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
46,False,"{'a': 0.35, 'e': 0.7985162187593771}",30,0,-193.6679661814056,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
47,False,"{'a': 0.35, 'e': 0.794533602503334}",30,5,-45.42292449058787,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",1
48,False,"{'a': 0.35, 'e': 0.7905708496287356}",25,0,-122.50389257708589,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
49,False,"{'a': 0.35, 'e': 0.7866278610665535}",30,0,-202.96448208741398,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
50,False,"{'a': 0.35, 'e': 0.7827045382418681}",30,15,4.081366981464368,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.35, 'e': 0.7788007830714049}",25,0,-33.985601028859435,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
52,False,"{'a': 0.35, 'e': 0.774916497961081}",25,0,-64.14658887624218,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
53,False,"{'a': 0.35, 'e': 0.7710515858035663}",25,0,-221.04585733493332,"{0: 11, 1: 5, 2: 3, 3: 3, 4: 3}",0
54,False,"{'a': 0.35, 'e': 0.7672059499758557}",35,14,-39.369068068398434,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 0}",1
55,False,"{'a': 0.35, 'e': 0.7633794943368531}",35,1,-230.58219732236526,"{0: 19, 1: 3, 2: 6, 3: 3, 4: 3}",1
56,False,"{'a': 0.35, 'e': 0.7595721232249685}",30,0,-156.89669404598723,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
57,False,"{'a': 0.35, 'e': 0.7557837414557255}",20,0,-97.59822873871978,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
58,False,"{'a': 0.35, 'e': 0.7520142543193826}",25,0,-48.892865658142185,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
59,False,"{'a': 0.35, 'e': 0.7482635675785653}",20,0,-39.351042269804104,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.35, 'e': 0.7445315874659094}",25,10,-58.17849074827857,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
61,False,"{'a': 0.35, 'e': 0.7408182206817179}",20,0,-63.502768178194735,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.35, 'e': 0.7371233743916278}",25,0,-98.75848114966192,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
63,False,"{'a': 0.35, 'e': 0.7334469562242892}",20,0,-81.71249098162131,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
64,False,"{'a': 0.35, 'e': 0.7297888742690568}",25,0,-75.81454922799725,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
65,False,"{'a': 0.35, 'e': 0.7261490370736909}",30,13,-27.72298788735565,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 0}",1
66,False,"{'a': 0.35, 'e': 0.7225273536420722}",30,0,-87.19602090604668,"{0: 20, 1: 6, 2: 1, 3: 2, 4: 1}",0
67,False,"{'a': 0.35, 'e': 0.7189237334319262}",20,0,-32.09292377055961,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
68,False,"{'a': 0.35, 'e': 0.7153380863525599}",30,22,17.70915721111599,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.35, 'e': 0.7117703227626097}",20,4,-40.92718002097787,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
70,False,"{'a': 0.35, 'e': 0.7082203534678}",20,11,-4.975471748364158,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.35, 'e': 0.7046880897187134}",20,0,-2.460300594101311,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.35, 'e': 0.7011734432085724}",20,0,-33.21495646817713,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
73,False,"{'a': 0.35, 'e': 0.697676326071031}",20,0,-83.02619128617133,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
74,False,"{'a': 0.35, 'e': 0.6941966508779789}",20,10,-62.48878077231901,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
75,False,"{'a': 0.35, 'e': 0.6907343306373547}",25,0,-140.74120187572416,"{0: 17, 1: 1, 2: 2, 3: 3, 4: 2}",0
76,False,"{'a': 0.35, 'e': 0.6872892787909722}",20,0,-119.22698706140247,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
77,False,"{'a': 0.35, 'e': 0.6838614092123558}",25,0,-17.12110434852742,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
78,False,"{'a': 0.35, 'e': 0.6804506362045877}",20,0,-90.64707264458885,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 0.35, 'e': 0.6770568744981647}",30,4,-31.207115240985043,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 0}",1
80,False,"{'a': 0.35, 'e': 0.6736800392488677}",20,2,-21.90557067436217,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
81,False,"{'a': 0.35, 'e': 0.6703200460356393}",20,0,-90.44826505483846,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
82,False,"{'a': 0.35, 'e': 0.6669768108584744}",25,0,-44.56217322259934,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
83,False,"{'a': 0.35, 'e': 0.6636502501363194}",25,9,-94.95074891408957,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 1}",1
84,False,"{'a': 0.35, 'e': 0.6603402807049829}",20,12,-21.775798781769335,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
85,False,"{'a': 0.35, 'e': 0.6570468198150567}",30,0,-25.131368184629455,"{0: 25, 1: 3, 2: 0, 3: 2, 4: 0}",0
86,False,"{'a': 0.35, 'e': 0.6537697851298473}",20,0,-96.26940088528933,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
87,False,"{'a': 0.35, 'e': 0.6505090947233165}",30,18,0.5238493935592088,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.35, 'e': 0.6472646670780347}",20,0,-96.32000278521404,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
89,False,"{'a': 0.35, 'e': 0.6440364210831414}",20,3,-89.89969972041476,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 1}",1
90,False,"{'a': 0.35, 'e': 0.6408242760323187}",20,8,-28.846891989351004,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
91,False,"{'a': 0.35, 'e': 0.6376281516217733}",20,1,-23.21037612330747,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
