trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-63.69425263,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
2,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-186.0519035,"{0: 10, 1: 4, 2: 6, 3: 4, 4: 1}",0
3,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-69.17351588,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
4,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-157.0737209,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
5,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-121.1454277,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
6,FALSE,"{'a': 0.5, 'e': 1.0}",20,3,-26.58539711,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 0}",1
7,FALSE,"{'a': 0.5, 'e': 1.0}",35,0,-47.95632847,"{0: 25, 1: 4, 2: 6, 3: 0, 4: 0}",0
8,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-94.77031531,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
9,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-245.6342825,"{0: 17, 1: 3, 2: 3, 3: 3, 4: 4}",0
10,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-243.5948621,"{0: 12, 1: 3, 2: 2, 3: 5, 4: 3}",0
11,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-119.1732956,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-146.5267073,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
13,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-152.8752068,"{0: 18, 1: 1, 2: 7, 3: 3, 4: 1}",0
14,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-88.31235816,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
15,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-141.3530292,"{0: 15, 1: 10, 2: 3, 3: 0, 4: 2}",0
16,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-215.7599529,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 4}",0
17,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-151.9323975,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
18,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-144.1892555,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
19,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-75.3443876,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
20,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-120.3133087,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
1,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-76.79505385,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-174.4285907,"{0: 12, 1: 5, 2: 4, 3: 2, 4: 2}",0
3,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-176.363031,"{0: 9, 1: 8, 2: 5, 3: 1, 4: 2}",0
4,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-160.4609201,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
5,TRUE,"{'a': 0.5, 'e': 1.0}",30,0,-330.6742651,"{0: 10, 1: 4, 2: 10, 3: 1, 4: 5}",0
6,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-190.9095221,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
7,TRUE,"{'a': 0.5, 'e': 1.0}",30,0,-170.7788754,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
8,TRUE,"{'a': 0.5, 'e': 1.0}",20,9,-19.16842045,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
9,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-139.9691927,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
10,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-200.4883459,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
11,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-45.25965228,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
12,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-185.5898531,"{0: 7, 1: 4, 2: 5, 3: 2, 4: 2}",0
13,TRUE,"{'a': 0.5, 'e': 1.0}",30,3,-148.5270712,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 2}",1
14,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-125.2386677,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
15,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-117.1014603,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
16,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-148.0273817,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
17,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-177.8171948,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
18,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-114.8310522,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
19,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-159.6285886,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
20,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-105.5438459,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
